,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1562837846563,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,376.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.11,0.15,0.15,0.2,0.27,18.47,18.47,19.45,20.46,20.46,21.49,22.55,22.55,23.64,24.76,24.76,25.91,27.08,27.08,28.26,29.43,29.43,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,30.53,377.7,378.49,378.49,379.3,380.13,380.13,380.97,381.83,381.83,382.72,383.61,383.61,384.53,385.47,385.47,386.42,387.4,387.4,388.39,389.4,389.4,390.43,391.48,391.48,392.55,393.64,393.64,394.73,395.83,395.83,397.21,398.6,398.6,399.73,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,33.94,31.85
1562837909199,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.1,0.13,0.17,0.17,0.22,0.28,0.28,0.37,0.48,0.48,0.58,29.22,29.22,30.46,31.69,31.69,32.93,34.18,34.18,35.44,36.7,36.7,37.96,39.2,39.2,40.42,41.59,41.59,42.7,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,43.91,3.6,3.6,4.43,5.28,5.28,6.15,7.03,7.03,7.93,8.85,8.85,9.79,10.75,10.75,11.72,12.71,12.71,13.71,14.73,14.73,15.78,16.85,16.85,17.93,19.04,19.04,20.55,22.05,22.05,23.18,24.33,24.33,25.5,26.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,63.69,45.25
1562837972444,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.1,0.14,0.18,0.18,0.24,0.31,0.31,0.39,0.49,0.49,0.59,0.7,0.7,1.48,2.29,2.29,2.46,2.63,2.63,29.96,29.96,31.2,32.44,32.44,33.69,34.96,34.96,36.23,37.49,37.49,38.76,40.03,40.03,41.29,42.51,42.51,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,43.67,2.82,3.76,3.76,4.71,5.67,5.67,6.65,7.63,7.63,8.65,9.69,9.69,10.74,11.8,11.8,12.88,13.98,13.98,15.1,16.23,16.23,17.38,18.54,18.54,20.22,21.92,21.92,23.14,24.37,24.37,25.57,26.79,26.79,28.01,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,67.56,45.01
1562838035703,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.11,0.14,0.18,0.18,0.24,0.32,0.32,0.41,0.51,0.51,0.63,0.75,0.75,0.88,1.02,1.02,1.55,2.09,2.09,2.28,2.47,34.22,34.22,35.51,36.8,36.8,38.09,39.38,39.38,40.67,41.96,41.96,43.25,44.53,44.53,45.8,47.03,47.03,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,3.38,4.31,4.31,5.27,6.23,6.23,7.2,8.2,8.2,9.2,10.23,10.23,11.28,12.35,12.35,13.44,14.54,14.54,15.65,16.78,16.78,17.93,19.09,19.09,20.32,21.56,21.56,22.75,23.94,23.94,25.14,26.36,26.36,27.59,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,67.48,49.7
1562838103028,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.13,0.16,0.2,0.2,0.26,0.34,0.34,0.43,0.54,0.54,0.66,0.8,0.8,0.94,1.1,1.1,1.26,1.43,1.43,1.63,1.86,1.86,2.07,2.29,34.28,34.28,35.55,36.82,36.82,38.09,39.37,39.37,40.65,41.93,41.93,43.22,44.49,44.49,45.75,46.99,46.99,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,48.18,4.54,4.54,5.42,6.31,6.31,7.23,8.16,8.16,9.12,10.11,10.11,11.1,12.11,12.11,13.14,14.19,14.19,15.27,16.37,16.37,17.49,18.63,18.63,19.78,21.4,21.4,23.04,24.26,24.26,25.48,26.68,26.68,27.91,29.15,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28
1562838166323,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.1,0.13,0.13,0.16,0.21,0.21,0.28,0.99,0.99,1.73,1.83,1.83,29.54,29.54,30.79,32.04,32.04,33.33,34.62,34.62,35.93,37.24,37.24,38.55,39.87,39.87,41.18,42.46,42.46,43.65,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,44.96,4.06,4.06,4.98,5.9,5.9,6.85,7.8,7.8,8.78,9.78,9.78,10.8,11.83,11.83,12.89,13.96,13.96,15.03,16.12,16.12,17.23,18.36,18.36,19.5,20.66,20.66,22.33,24.0,24.0,25.18,26.37,26.37,27.58,28.8,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32
1562838229551,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.14,0.18,0.18,0.24,0.31,0.31,0.39,0.49,0.49,0.6,0.71,0.71,0.84,0.97,0.97,1.12,1.27,1.27,1.43,1.59,1.59,1.82,2.07,2.07,2.28,2.49,34.13,35.38,35.38,36.64,37.9,37.9,39.17,40.45,40.45,41.72,42.97,42.97,44.22,45.46,45.46,46.68,47.85,47.85,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,49.78,4.48,5.39,5.39,6.32,7.27,7.27,8.24,9.22,9.22,10.23,11.25,11.25,12.3,13.35,13.35,14.42,15.5,15.5,16.6,17.72,17.72,18.86,20.02,20.02,21.21,22.41,22.41,23.76,25.12,25.12,26.32,27.53,27.53,28.77,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,69.14,51.21
1562838297406,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.12,0.15,0.19,0.19,0.25,0.32,0.32,0.42,0.52,0.52,0.63,0.75,0.75,0.87,1.0,1.0,1.15,1.3,1.3,1.47,1.67,1.67,1.87,2.06,44.94,46.18,47.42,47.42,48.67,49.92,49.92,51.19,52.45,52.45,53.71,54.98,54.98,56.23,57.46,57.46,58.64,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,60.18,4.04,4.04,4.95,5.87,5.87,6.81,7.76,7.76,8.73,9.72,9.72,10.73,11.77,11.77,12.81,13.87,13.87,14.95,16.04,16.04,17.15,18.28,18.28,19.42,20.6,20.6,21.78,22.95,22.95,24.14,25.33,25.33,26.54,27.75,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,63.78,61.63
1562838360280,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09,0.12,0.12,0.17,0.24,0.24,0.3,0.38,0.38,0.49,0.6,0.6,0.72,0.89,0.89,1.07,1.25,1.25,31.18,32.47,33.77,33.77,35.08,36.4,36.4,37.73,39.05,39.05,40.37,41.68,41.68,42.95,44.2,44.2,45.42,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,47.13,3.15,4.07,4.07,5.02,5.98,5.98,6.96,7.96,7.96,8.97,10.0,10.0,11.05,12.13,12.13,13.22,14.32,14.32,15.44,16.57,16.57,17.72,18.89,18.89,20.54,22.2,22.2,23.46,24.73,24.73,25.95,27.18,27.18,28.42,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,48.56
1562838423573,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.12,0.14,0.14,0.18,0.24,0.24,0.31,0.39,0.39,0.48,0.59,0.59,0.71,0.84,0.84,0.99,1.15,1.15,1.32,1.49,1.49,1.74,2.01,2.01,2.23,2.44,32.13,33.39,34.68,34.68,35.98,37.29,37.29,38.59,39.89,39.89,41.2,42.51,42.51,43.81,45.09,45.09,46.32,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,47.67,4.91,4.91,5.84,6.79,6.79,7.77,8.77,8.77,9.79,10.83,10.83,11.89,12.96,12.96,14.03,15.13,15.13,16.25,17.36,17.36,18.5,19.65,19.65,20.81,22.03,22.03,23.25,24.45,24.45,25.66,26.88,26.88,28.1,29.34,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,68.1,49.13
