,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1562837846563,185.66,185.69,185.57,185.66,185.69,185.45,185.54,185.73,185.42,185.42,204.39,184.22,183.21,180.97,180.78,190.39,210.81,177.62,172.8,162.49,161.35,161.57,161.69,161.75,161.47,161.38,161.35,161.44,161.44,161.6,161.63,161.63,162.12,162.21,162.52,163.41,163.47,163.84,164.94,165.16,166.11,167.31,167.4,168.32,168.63,169.42,170.01,170.74,171.05,172.03,172.16,173.29,173.72,174.61,174.77,175.78,175.66,176.55,177.13,177.13,178.51,178.63,179.89,179.86,179.98,180.72,181.06,181.86,182.01,182.13,182.66,183.94,183.94,228.21,229.04,230.27,230.97,232.94,233.06,234.14,235.0,235.7,237.11,237.54,238.56,239.32,240.18,238.83,238.1,235.64,240.37,244.88,228.12,227.75,219.89,217.68,216.24,265.08,246.32,211.6,211.57,212.49,213.63,213.66,214.27,215.66,216.33,217.62,217.25,218.42,218.57,219.74,219.55,219.95,221.27,222.72,222.44,223.02,223.36,224.25,224.83,225.02,225.63,225.85,226.83,227.84,228.09,229.01,229.69,230.51,230.18,231.31,231.8,232.45,233.09,234.5,234.44,235.43,235.06,261.55,235.64,235.06,239.85,236.25,236.32,237.11,242.73,242.58,242.61,242.73,242.61,242.61,242.03,241.96,242.03,241.66,241.81,241.84,242.55,244.45,246.66,247.12,247.77,247.89,245.89,305.45,252.03,252.52,253.88,254.0,254.03,254.12,253.23,252.31,251.39,250.93,249.92,248.96,248.47,248.23
1562837909199,187.41,187.63,187.32,187.94,188.09,188.55,188.43,188.24,188.37,188.21,187.87,187.81,186.92,186.46,185.36,205.74,245.99,181.12,177.13,172.03,174.31,173.35,172.03,169.92,167.83,165.43,165.07,163.9,163.9,163.96,163.81,163.71,164.24,165.28,166.29,166.17,167.28,167.4,168.66,169.64,169.58,170.44,170.99,172.0,172.16,172.95,173.35,174.24,174.52,175.44,175.44,175.78,176.98,176.91,177.81,178.42,179.59,179.4,179.8,179.83,180.72,180.94,181.24,182.47,182.19,182.56,182.99,183.7,195.24,185.3,185.17,185.08,185.23,241.93,241.81,242.7,242.12,243.32,242.09,242.67,242.82,242.92,242.95,242.95,242.7,241.69,240.77,239.32,237.45,234.04,282.15,246.48,227.84,228.89,224.16,224.68,223.24,242.98,309.78,223.7,217.56,217.38,217.25,218.42,217.74,217.65,218.7,218.91,219.03,220.2,219.89,220.97,221.09,221.61,222.47,223.33,222.9,225.2,224.28,225.17,225.3,226.86,227.41,228.27,228.37,229.32,230.58,230.36,231.59,231.04,231.68,232.97,233.43,234.32,234.57,278.99,236.62,235.36,247.74,235.64,236.93,237.42,238.1,238.86,239.75,239.91,246.78,246.75,246.48,246.57,246.66,246.66,246.48,246.26,245.68,244.91,244.76,244.36,244.91,246.57,247.98,247.24,252.56,250.84,248.29,321.72,254.0,251.97,251.79,252.62,250.19,249.46,248.87,248.56,247.89,247.77,246.97,247.12,247.15,247.43
1562837972444,187.97,188.09,187.97,189.41,189.1,189.5,189.32,189.5,189.13,188.73,188.7,188.67,188.86,187.87,186.95,204.48,237.02,183.12,179.49,174.18,176.06,174.98,174.24,172.16,170.99,170.68,169.67,168.69,168.78,168.69,168.75,168.69,169.03,170.01,170.13,171.11,171.63,172.95,172.89,173.84,174.06,174.77,176.09,176.21,176.27,177.28,177.74,178.39,178.88,179.28,179.89,179.98,180.97,181.24,182.29,182.62,182.44,182.84,183.24,184.01,184.34,184.77,184.99,184.93,186.25,186.19,187.32,210.62,188.55,188.4,188.24,188.49,188.33,241.32,242.73,242.95,242.55,243.65,243.56,243.75,243.32,243.35,243.44,243.59,243.47,243.01,242.64,242.36,240.03,236.99,300.29,240.86,231.5,230.7,227.97,227.14,227.05,326.63,237.18,222.04,221.86,222.41,222.1,221.64,223.12,223.09,223.05,223.05,223.55,224.56,226.19,226.03,226.03,227.17,227.26,227.54,229.13,229.19,229.96,229.96,230.79,231.59,232.36,232.48,233.52,233.52,234.29,235.21,235.92,235.7,236.65,237.51,236.93,238.71,237.7,237.85,243.65,238.4,276.96,239.05,239.54,239.45,240.68,241.6,241.75,240.77,248.35,248.41,248.41,248.38,248.32,248.56,248.5,248.29,248.2,247.21,247.12,246.88,246.94,247.49,248.47,247.52,254.4,252.99,249.27,321.44,252.52,251.94,251.08,250.87,249.85,249.24,248.81,247.49,247.92,246.94,246.51,246.54,245.53,246.23
1562838035703,190.02,190.91,190.97,191.34,191.44,191.44,191.62,191.44,191.13,190.61,190.7,190.7,189.26,188.55,187.05,262.75,204.48,182.35,178.02,173.88,174.74,174.86,174.09,172.16,171.2,168.93,168.87,169.15,168.14,168.53,168.38,169.76,169.52,169.82,170.9,172.13,171.97,173.05,173.29,174.58,174.52,175.53,175.47,176.45,176.64,177.5,179.0,178.82,179.83,179.77,181.12,181.12,181.18,182.66,182.66,183.76,183.73,184.19,185.02,184.93,185.39,185.51,185.76,186.62,186.89,187.05,187.08,190.88,193.71,189.72,189.29,189.65,189.87,243.65,243.28,243.62,244.54,243.38,244.51,244.17,244.33,244.88,244.27,244.88,245.0,243.22,243.28,242.36,239.26,234.63,316.56,238.4,230.67,229.62,226.25,226.09,225.3,274.54,287.49,224.74,222.13,221.18,221.95,221.46,222.04,221.95,222.35,223.05,223.98,224.28,225.2,225.85,226.28,226.86,227.35,227.41,228.12,228.3,229.04,229.78,230.94,230.73,231.83,232.42,232.14,234.01,233.34,234.69,234.87,235.49,235.7,236.56,237.57,237.15,238.53,283.68,238.96,238.74,243.32,238.89,239.2,239.39,240.77,241.23,241.78,241.75,249.85,249.73,249.82,249.33,249.79,249.85,249.67,249.46,248.93,248.23,248.1,247.98,247.49,248.66,249.24,250.84,251.76,253.97,251.54,282.98,269.75,253.17,252.71,253.38,252.86,251.85,250.96,250.9,250.35,249.79,249.12,248.66,248.78,248.87
1562838103028,190.79,190.88,191.31,192.05,192.26,192.66,192.88,192.76,192.69,192.54,192.05,192.14,192.14,191.01,190.02,196.04,278.77,188.06,182.26,175.32,174.98,171.24,172.52,172.89,171.54,170.22,170.16,170.16,170.01,170.31,170.19,170.22,170.13,171.82,171.73,172.99,172.99,173.91,174.89,175.1,175.38,176.36,176.67,177.93,178.82,179.16,179.68,180.23,181.27,181.18,182.59,182.59,183.79,183.79,183.88,184.56,185.14,185.82,186.06,186.03,187.2,187.23,187.41,187.72,188.09,188.37,188.73,201.01,190.79,190.58,190.61,190.97,190.82,242.49,242.55,243.44,243.59,244.6,243.84,243.9,243.96,243.9,244.33,244.17,244.21,242.85,242.82,241.81,241.07,238.16,258.17,256.39,231.56,228.24,225.66,222.69,222.9,222.04,268.61,278.43,220.84,217.84,218.3,218.05,219.31,219.31,218.85,220.17,220.08,219.86,221.0,221.67,222.81,223.7,224.16,224.13,225.14,225.36,226.62,226.37,227.05,227.72,228.98,230.42,229.87,230.73,231.34,231.86,232.33,233.15,234.17,235.03,236.5,236.25,237.15,237.21,237.51,283.59,239.14,238.31,242.64,239.05,240.15,240.06,241.38,241.35,242.52,250.62,250.65,250.87,250.71,250.44,251.14,250.9,251.36,250.35,249.46,250.01,250.71,252.71,253.84,243.59,240.89,253.94,254.15,251.88,332.0,256.02,255.01,254.67,255.29,254.67,254.03,253.72,252.62,251.63,250.62,250.25,249.61,249.85
1562838166323,189.44,189.44,189.9,190.54,190.58,190.67,190.79,190.79,189.72,189.59,189.59,189.59,190.15,189.96,189.13,187.66,185.88,289.49,189.9,177.9,175.84,172.49,172.83,172.8,169.52,168.47,168.17,167.06,166.82,165.8,165.59,165.77,166.23,166.29,167.49,167.24,167.83,167.95,168.9,170.01,170.38,171.14,171.24,172.28,172.59,172.8,173.6,173.75,174.92,174.89,175.72,176.09,176.91,177.34,178.39,178.3,179.31,179.22,179.62,179.68,180.11,180.94,181.37,181.55,181.73,183.3,183.05,183.21,183.58,248.14,185.94,184.8,184.9,185.2,242.39,243.22,243.59,243.35,244.05,243.93,244.85,244.79,245.46,245.43,246.48,246.2,245.4,245.43,244.85,242.21,239.02,280.49,252.43,230.88,231.56,228.03,228.3,226.86,235.52,325.77,227.2,220.29,219.95,220.48,220.6,220.72,221.18,220.78,221.77,221.77,223.33,224.04,224.01,224.83,225.3,226.52,226.06,227.2,227.94,227.38,228.64,230.02,229.99,230.02,231.28,231.74,232.33,232.51,233.28,234.2,234.29,234.63,235.43,237.24,236.29,236.56,292.92,238.65,237.24,243.32,238.43,239.14,239.2,240.28,240.68,240.71,240.89,251.88,251.97,251.73,251.73,251.67,251.57,251.51,250.62,250.68,250.62,250.13,249.42,248.78,249.67,251.39,253.26,255.9,256.76,253.57,327.24,259.34,255.1,254.06,254.06,252.52,252.56,252.4,251.88,250.9,250.99,250.35,250.31,249.92
1562838229551,189.81,189.96,190.51,190.7,191.4,191.31,191.34,191.37,191.16,190.76,190.91,190.85,191.07,190.08,188.64,190.08,282.24,185.02,178.97,175.5,176.15,176.52,176.09,174.67,174.15,173.05,172.25,172.0,171.94,172.1,172.25,173.69,173.57,173.63,174.74,174.86,175.26,176.15,177.16,177.41,177.59,178.57,179.0,179.83,179.74,181.06,181.15,181.86,182.41,182.47,183.64,183.39,183.76,184.9,184.93,185.36,185.3,186.09,186.4,186.55,186.98,187.87,187.81,187.78,187.97,187.94,188.43,235.49,191.28,190.61,190.51,190.54,190.7,242.73,242.76,242.52,243.65,243.68,243.75,243.41,243.65,243.65,243.22,242.33,242.27,241.47,241.47,241.32,238.8,235.36,268.95,250.81,229.26,228.03,225.02,224.96,224.01,325.1,240.64,221.77,220.91,220.91,220.78,221.83,221.46,222.32,222.35,222.07,222.53,224.47,224.8,224.87,225.97,225.11,225.85,226.77,227.75,228.09,229.04,229.41,229.56,230.88,231.83,232.39,231.83,232.82,233.15,233.68,234.17,234.75,235.67,236.35,236.99,237.39,238.28,238.04,257.44,238.53,240.18,242.27,239.48,240.49,240.52,241.17,241.32,242.24,252.4,252.43,252.92,252.65,252.71,252.68,252.68,252.62,251.76,251.79,251.67,250.28,250.56,250.07,251.67,252.59,252.34,255.81,253.08,328.2,260.66,255.29,256.15,255.87,254.74,254.46,253.48,253.17,251.76,251.48,250.53,250.65,250.62,251.2
1562838297406,191.13,190.97,190.97,191.25,191.37,192.54,192.57,192.45,192.08,191.99,191.99,191.62,191.16,189.81,188.67,193.77,282.89,188.76,182.1,176.27,175.63,175.26,175.53,174.52,173.14,172.03,170.9,171.36,170.93,170.9,170.9,171.08,171.36,172.25,172.31,173.57,174.49,174.77,175.35,175.63,176.91,176.95,177.19,178.63,178.63,179.49,179.68,180.69,180.78,181.58,181.92,182.16,182.75,183.12,184.1,184.13,184.96,185.23,185.57,185.17,185.88,186.31,187.08,187.26,187.44,187.78,187.75,188.21,261.83,190.67,189.69,190.15,189.93,241.47,242.73,242.46,242.33,243.38,243.22,243.35,242.98,242.98,244.24,243.22,242.82,242.55,240.89,241.35,239.23,236.19,278.04,254.0,230.97,230.61,225.76,226.83,225.45,233.86,327.37,228.98,222.23,221.03,221.21,221.0,221.46,222.04,222.99,222.72,223.48,223.42,224.04,224.59,225.48,226.52,227.14,226.86,227.2,228.3,227.9,229.04,229.59,230.21,230.97,231.25,232.57,233.46,233.12,233.68,233.65,234.93,235.52,235.36,237.05,237.05,236.93,238.22,240.74,237.82,260.97,239.48,239.26,239.57,239.82,240.64,240.37,240.64,251.76,251.63,252.1,252.03,251.88,251.94,251.63,251.51,250.68,251.05,250.13,249.52,250.01,250.84,252.1,253.29,253.78,256.21,254.06,315.7,262.9,256.58,256.02,255.2,254.43,254.37,254.31,253.45,253.45,252.37,252.28,252.16,252.16,252.31
1562838360280,187.81,188.92,189.01,189.04,189.22,189.69,189.69,190.08,189.59,188.76,188.76,188.83,188.61,187.81,187.35,194.26,280.03,185.45,179.83,174.49,176.27,174.64,172.62,171.51,169.21,168.04,167.24,166.69,166.78,167.06,166.88,167.24,168.2,168.44,169.3,169.58,170.5,170.74,171.94,172.03,173.14,173.2,174.06,174.46,175.47,175.35,176.24,176.73,176.95,178.45,178.39,179.49,179.46,180.51,180.72,180.97,181.98,182.13,182.78,182.87,183.05,184.37,184.59,184.62,185.76,185.57,186.03,255.44,189.72,188.33,188.49,188.4,188.49,244.3,244.33,245.16,245.8,246.11,246.51,245.99,246.17,246.48,245.53,245.65,244.94,243.35,243.59,242.39,241.66,239.45,290.22,245.8,232.08,230.51,229.87,228.21,228.4,330.9,241.2,223.24,221.3,221.09,221.43,222.38,223.64,223.67,223.05,224.83,223.02,224.19,225.26,225.3,226.37,226.74,227.66,228.46,228.89,228.67,230.08,230.94,231.5,231.53,232.39,232.91,234.32,234.41,234.32,235.27,236.1,235.92,237.27,237.11,237.73,238.71,238.93,239.26,250.96,239.42,284.33,241.2,240.86,241.01,242.12,242.33,242.33,242.52,252.83,252.86,252.95,252.95,252.92,252.83,252.8,252.99,252.52,252.49,251.73,251.54,251.11,251.76,252.34,253.69,256.79,257.53,253.81,337.01,258.6,256.18,255.81,255.26,254.83,254.74,254.46,253.08,252.56,250.99,250.56,251.45,250.68,251.24
1562838423573,190.67,190.67,190.91,190.91,191.16,191.56,191.5,191.44,191.37,190.79,190.33,190.45,190.58,189.29,189.44,210.9,246.85,184.04,180.23,175.69,175.84,175.99,176.09,174.15,172.83,170.99,170.78,170.62,170.19,170.19,170.59,170.47,171.73,171.91,172.86,173.05,174.67,174.52,174.98,175.78,176.64,176.91,177.9,178.05,178.94,180.51,180.26,180.69,181.64,181.83,182.56,182.93,183.67,183.91,183.98,184.96,185.23,186.0,186.31,186.71,186.77,186.71,187.84,187.94,188.15,189.53,189.32,189.19,235.89,191.34,190.18,190.24,190.61,243.93,244.24,245.16,243.96,244.39,245.16,245.46,245.13,245.31,245.22,245.31,245.22,244.21,243.38,243.1,241.66,239.2,254.86,275.18,231.19,231.19,227.44,228.3,226.86,232.33,331.11,235.06,222.99,222.35,221.86,222.44,222.35,222.35,222.1,223.15,223.55,225.26,225.14,224.68,225.6,227.11,227.2,227.97,227.75,229.53,230.64,230.61,231.47,232.51,231.93,232.26,232.91,233.55,234.41,235.43,235.4,236.07,236.1,237.7,237.27,237.64,238.99,237.57,243.32,239.11,284.57,240.58,240.49,240.4,241.5,240.92,242.18,242.46,254.06,254.03,253.78,253.51,253.42,253.66,253.6,253.26,253.2,253.11,252.65,251.82,250.71,250.96,253.51,254.27,256.7,258.23,254.74,328.93,261.21,256.79,256.27,255.1,255.35,254.61,253.54,253.26,253.45,252.83,252.34,252.49,252.03,251.79
